"transaction_date","post_date","type","details","amount","currency"
"2025-09-25","2025-09-25","Payment","From chequing account","-8278.87","CAD"
"2025-09-24","2025-09-25","Purchase","SWEET CHERUBIM NATURAL","17.51","CAD"
"2025-09-24","2025-09-25","Purchase","HARBOUR OYSTER + BAR","112.83","CAD"
"2025-09-25","2025-09-26","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-09-25","2025-09-26","Purchase","CITY OF VAN-PARKS AN TROU","181.87","CAD"
"2025-09-26","2025-09-26","Purchase","SQ *FLOURIST MILLING INC.","25.3","CAD"
"2025-09-25","2025-09-26","Purchase","SUBWAY 17154","8.98","CAD"
"2025-09-26","2025-09-26","Purchase","PETRO-CANADA 98788","6.71","CAD"
"2025-09-25","2025-09-27","Purchase","REAL CDN SUPERSTORE #1","221.29","CAD"
"2025-09-26","2025-09-27","Purchase","LIBERTY WINE MERCHANTS (C","21.94","CAD"
"2025-09-27","2025-09-28","Purchase","NEW TRIPLE A MARKET","68.99","CAD"
"2025-09-27","2025-09-28","Purchase","MARKETPLACE IGA 024","35.9","CAD"
"2025-09-27","2025-09-28","Purchase","PLATFORM 7","12.93","CAD"
"2025-09-27","2025-09-28","Purchase","COMPASS ACCOUNT BURNAB","3.35","CAD"
"2025-09-28","2025-09-28","Purchase","AMAZON.CA*NJ1Z74YP0","39.14","CAD"
"2025-09-28","2025-09-28","Purchase","AMZN MKTP CA*5G2OZ7N03","28.21","CAD"
"2025-09-28","2025-09-28","Purchase","AMAZON.CA*NJ6FA0YD0","61.77","CAD"
"2025-09-27","2025-09-28","Purchase","ISETTA CAFE BISTRO","14.78","CAD"
"2025-09-27","2025-09-28","Purchase","SUPER VALU 98","6.99","CAD"
"2025-09-28","2025-09-28","Purchase","TST-LA MEZCALERIA","130.86","CAD"
"2025-09-29","2025-09-29","Purchase","COBS BREAD","7.25","CAD"
"2025-09-29","2025-09-30","Purchase","HEMLOCK HOSPITAL","25.83","CAD"
"2025-09-29","2025-09-30","Purchase","CONTINENTAL COFFEE COMM","5.67","CAD"
"2025-09-29","2025-09-30","Purchase","SANDBAR SEAFOOD RESTAURAN","28.09","CAD"
"2025-09-29","2025-09-30","Purchase","PHO37","55.56","CAD"
"2025-09-30","2025-09-30","Purchase","DECATHLON METROTOWN","15.68","CAD"
"2025-09-30","2025-09-30","Purchase","UNIQLO CANADA POS_CA_MTT_","145.05","CAD"
"2025-10-01","2025-10-01","Purchase","ZIPBY","7.68","CAD"
"2025-10-01","2025-10-02","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-10-01","2025-10-02","Purchase","CITY AVENUE MARKET","56.23","CAD"
"2025-10-01","2025-10-02","Purchase","SPOOL OF THREAD SEWING LO","149.65","CAD"
"2025-09-30","2025-10-02","Purchase","CHANCHO RESTAURANT","29.75","CAD"
"2025-10-02","2025-10-02","Purchase","EXPEDIA 73261120646463","1253.92","CAD"
"2025-10-03","2025-10-03","Purchase","SQ *JJ BEAN COFFEE ROASTE","4.78","CAD"
"2025-10-02","2025-10-03","Purchase","FA BARTLETT TREE EXPERT C","876.23","CAD"
"2025-10-03","2025-10-04","Purchase","WHITE RABBIT COFFEE","23.62","CAD"
"2025-10-03","2025-10-04","Purchase","VICTORIA MIDISLAND COOP G","2.4","CAD"
"2025-10-04","2025-10-04","Purchase","NETFLIX.COM","8.95","CAD"
