"transaction_date","post_date","type","details","amount","currency"
"2025-10-24","2025-10-25","Purchase","BEAN SCENE COFFEE WORK","12.84","CAD"
"2025-10-23","2025-10-25","Purchase","AIR-SERV A AN06028","2.5","CAD"
"2025-10-25","2025-10-25","Payment","From chequing account","-7805.99","CAD"
"2025-10-24","2025-10-25","Purchase","SAVE ON FOODS #932","38.0","CAD"
"2025-10-25","2025-10-25","Purchase","SP VESSI-FOOTWEAR-CA","178.65","CAD"
"2025-10-25","2025-10-26","Purchase","ARDENE #123","62.84","CAD"
"2025-10-25","2025-10-26","Purchase","BEAN SCENE COFFEE WORK","6.04","CAD"
"2025-10-25","2025-10-26","Purchase","BEAN SCENE COFFEE WORK","23.35","CAD"
"2025-10-25","2025-10-26","Purchase","YMCA OF SOUTHERN INTERIOR","13.25","CAD"
"2025-10-26","2025-10-26","Purchase","TST-KEKULI CAFE - WEST","17.74","CAD"
"2025-10-26","2025-10-27","Purchase","SPIRIT HALLOWEEN C6855","71.05","CAD"
"2025-10-26","2025-10-27","Purchase","HOME RESTAURANT STR 1","6.29","CAD"
"2025-10-26","2025-10-27","Purchase","HOME RESTAURANT STR 1","74.01","CAD"
"2025-10-26","2025-10-27","Purchase","URBAN PLANET 1852","88.19","CAD"
"2025-10-27","2025-10-27","Purchase","SQ *FLOURIST MILLING INC.","18.0","CAD"
"2025-10-27","2025-10-27","Purchase","MINTAGE VINTAGE","50.4","CAD"
"2025-10-27","2025-10-27","Purchase","JQ CLOTHING","53.75","CAD"
"2025-10-27","2025-10-27","Purchase","CONTINENTAL COFFEE COMM","47.0","CAD"
"2025-10-27","2025-10-28","Purchase","STRANGE FELLOWS BREWING","39.76","CAD"
"2025-10-27","2025-10-28","Purchase","PERSIA FOODS","19.21","CAD"
"2025-10-28","2025-10-29","Purchase","DOLLAR TREE #40148","25.73","CAD"
"2025-10-28","2025-10-29","Purchase","CLIP MX*ECO ADVENTURES","125.42","CAD"
"2025-10-28","2025-10-29","Purchase","IKHAYA","25.2","CAD"
"2025-10-29","2025-10-29","Purchase","SQ *MORE CAFE & BAKESHOP","22.35","CAD"
"2025-10-28","2025-10-29","Purchase","#827 MARKS","298.99","CAD"
"2025-10-28","2025-10-29","Purchase","#827 MARKS","16.79","CAD"
"2025-10-28","2025-10-29","Purchase","BEAR COUNTRY PROPERTY MAN","637.26","CAD"
"2025-10-28","2025-10-29","Purchase","THE GUMBOOT RESTAURANT","74.03","CAD"
"2025-10-28","2025-10-29","Purchase","THE GUMBOOT RESTAURANT","38.88","CAD"
"2025-10-29","2025-10-30","Purchase","NOODLEBOX","53.14","CAD"
"2025-10-29","2025-10-30","Purchase","DOLLAR TREE #40148","3.93","CAD"
"2025-10-29","2025-10-30","Purchase","SIEGEL'S BAGELS","11.95","CAD"
"2025-10-29","2025-10-30","Purchase","SAL Y LIMON MEXICAN CU","13.69","CAD"
"2025-10-29","2025-10-30","Purchase","LYFT *RIDE WED 8PM","14.25","CAD"
"2025-10-31","2025-11-01","Purchase","TST-PARK DRIVE","29.77","CAD"
"2025-10-31","2025-11-01","Purchase","TST-LA MEZCALERIA","86.02","CAD"
"2025-10-31","2025-11-01","Purchase","FA BARTLETT TREE EXPERT C","154.88","CAD"
"2025-10-31","2025-11-01","Purchase","PANAGO STORE #16 OLM","73.1","CAD"
"2025-11-01","2025-11-01","Purchase","SQ *TO LIVE FOR BAKERY","13.78","CAD"
"2025-11-01","2025-11-02","Purchase","LYFT *RIDE SAT 9PM","10.34","CAD"
"2025-11-01","2025-11-02","Purchase","BELGIAN FRIES","21.14","CAD"
"2025-11-02","2025-11-02","Purchase","TST-THE ANZA CLUB","31.25","CAD"
"2025-11-02","2025-11-03","Purchase","LYFT *RIDE SUN 12AM","10.34","CAD"
"2025-11-02","2025-11-04","Purchase","SUPER VALU 98","92.12","CAD"
"2025-11-03","2025-11-04","Purchase","CITY AVENUE MARKET","22.39","CAD"
"2025-11-04","2025-11-04","Purchase","NETFLIX.COM","8.95","CAD"
"2025-11-03","2025-11-04","Purchase","COMPASS ACCOUNT BURNAB","6.6","CAD"
"2025-11-03","2025-11-04","Purchase","COMPASS ACCOUNT BURNAB","0.1","CAD"
"2025-11-04","2025-11-04","Purchase","TST-TERRA BREADS - MAN","8.61","CAD"
"2025-11-04","2025-11-04","Refund initiated","EXPEDIA 73261120646463","-1253.92","CAD"
"2025-11-04","2025-11-05","Refund settled","EXPEDIA 73261120646463","1253.92","CAD"
"2025-11-04","2025-11-05","Refund settled","EXPEDIA 73261120646463","-1253.92","CAD"
"2025-11-04","2025-11-05","Purchase","STRANGE FELLOWS BREWING","23.54","CAD"
"2025-11-04","2025-11-05","Purchase","LONDON DRUGS 82","40.57","CAD"
"2025-11-05","2025-11-05","Purchase","SQ *MRPETS - VANCOUVER","8.04","CAD"
"2025-11-05","2025-11-05","Purchase","SQ *JJ BEAN COFFEE ROASTE","10.75","CAD"
"2025-11-04","2025-11-05","Purchase","PHO37","103.12","CAD"
"2025-11-05","2025-11-05","Purchase","COBS BREAD","7.25","CAD"
"2025-11-05","2025-11-05","Purchase","DAL-TILE VANCOUVER #32","1026.19","CAD"
"2025-11-05","2025-11-06","Purchase","CAMBIE BROADWAY DENTAL","289.7","CAD"
"2025-11-05","2025-11-06","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-11-05","2025-11-06","Purchase","LONDON DRUGS 04","5.59","CAD"
"2025-11-05","2025-11-06","Purchase","CITY AVENUE MARKET","51.46","CAD"
"2025-11-05","2025-11-06","Purchase","PET PANTRY","37.55","CAD"
"2025-11-04","2025-11-06","Purchase","CITY OF VAN PAYBYPHONE","2.3","CAD"
"2025-11-06","2025-11-06","Purchase","AMAZON.CA PRIME MEMBER","11.19","CAD"
"2025-11-06","2025-11-06","Purchase","SQ *PAULIE'S BARBERSHOP","50.0","CAD"
"2025-11-06","2025-11-06","Purchase","SKYLAND BUILDING SUPPL","540.73","CAD"
"2025-11-06","2025-11-07","Purchase","BCAA-INSURANCE","73.04","CAD"
"2025-11-05","2025-11-07","Purchase","CITY OF VAN PAYBYPHONE","1.3","CAD"
"2025-11-07","2025-11-07","Purchase","PETRO-CANADA 91391","8.9","CAD"
"2025-11-06","2025-11-08","Purchase","7-ELEVEN STORE #37855","5.76","CAD"
"2025-11-07","2025-11-08","Purchase","NW PARKING MOBILE PAYM","11.25","CAD"
"2025-11-08","2025-11-08","Purchase","SQ *TO LIVE FOR BAKERY","9.19","CAD"
"2025-11-08","2025-11-08","Purchase","SQ *PRADO CAFE COMMERCIAL","12.36","CAD"
"2025-11-08","2025-11-09","Purchase","MAGNET HARDWARE 53710","44.79","CAD"
"2025-11-08","2025-11-09","Purchase","BCF - HORSESHOE BAY","15.65","CAD"
"2025-11-08","2025-11-09","Purchase","BCF - SURREY QUEEN OF","22.04","CAD"
"2025-11-08","2025-11-09","Purchase","BCF - SURREY QUEEN OF","112.57","CAD"
"2025-11-08","2025-11-09","Purchase","BCF - SURREY QUEEN OF","171.39","CAD"
"2025-11-09","2025-11-09","Purchase","SQ *PUREBREAD BAKERY INC","48.41","CAD"
"2025-11-08","2025-11-09","Purchase","BC LIQUOR #111","47.33","CAD"
"2025-11-09","2025-11-10","Purchase","LATIN AMERICA","24.2","CAD"
"2025-11-09","2025-11-10","Purchase","LA COMER LA CASCADA","75.58","CAD"
"2025-11-09","2025-11-10","Purchase","LYFT *RIDE SUN 6AM","42.25","CAD"
"2025-11-10","2025-11-11","Purchase","CLUB DE PLAYA","155.85","CAD"
"2025-11-10","2025-11-11","Purchase","LATIN AMERICA","71.59","CAD"
"2025-11-11","2025-11-12","Purchase","LA COMER LA CASCADA","134.13","CAD"
"2025-11-10","2025-11-12","Purchase","PAYPAL *EAMV790226J ROG","186.47","CAD"
"2025-11-12","2025-11-13","Purchase","REST FLORA D KITCHEN N","256.77","CAD"
"2025-11-11","2025-11-13","Purchase","THE OFFICE RESTAURANT","147.5","CAD"
"2025-11-12","2025-11-13","Purchase","AIR CANADA ON BOARD CA","29.9","CAD"
