"transaction_date","post_date","type","details","amount","currency"
"2025-11-24","2025-11-25","Purchase","CITY OF VAN-PARKS AN TROU","8.33","CAD"
"2025-11-25","2025-11-25","Payment","From chequing account","-11544.47","CAD"
"2025-11-24","2025-11-25","Purchase","PHO37","73.19","CAD"
"2025-11-25","2025-11-25","Purchase","LS LIVIA SWEETS LTD.","18.5","CAD"
"2025-11-25","2025-11-25","Purchase","SQ *MRPETS - VANCOUVER","59.37","CAD"
"2025-11-25","2025-11-26","Purchase","DRESSEW SUPPLY LTD","46.01","CAD"
"2025-11-26","2025-11-26","Purchase","LAMAISONSIMONS","146.58","CAD"
"2025-11-26","2025-11-26","Purchase","LAMAISONSIMONS","42.23","CAD"
"2025-11-26","2025-11-26","Purchase","AMAZON.CA*B257A5M30","35.27","CAD"
"2025-11-26","2025-11-27","Purchase","NEW VISAGE ADVANCED SKINC","248.78","CAD"
"2025-11-26","2025-11-27","Purchase","WWW.MUBI.COM","80.0","CAD"
"2025-11-26","2025-11-27","Purchase","WHOLE FOODS MARKET","12.88","CAD"
"2025-11-26","2025-11-27","Purchase","WHOLE FOODS MARKET","4.2","CAD"
"2025-11-26","2025-11-27","Purchase","SHOPPERS DRUG MART #24","89.48","CAD"
"2025-11-26","2025-11-27","Purchase","OLD NAVY CANADA 3908","24.61","CAD"
"2025-11-26","2025-11-27","Purchase","SEPHORA PARK ROYAL","33.6","CAD"
"2025-11-26","2025-11-27","Purchase","DUNDAS KK MARKET","6.7","CAD"
"2025-11-27","2025-11-27","Purchase","CONTINENTAL COFFEE COMM","47.0","CAD"
"2025-11-27","2025-11-28","Purchase","TST-LA MEZCALERIA","118.37","CAD"
"2025-11-27","2025-11-28","Purchase","SQ *MRPETS - VANCOUVER","86.22","CAD"
"2025-11-28","2025-11-28","Purchase","SQ *KITS BEACH COFFEE INC","11.93","CAD"
"2025-11-27","2025-11-28","Purchase","SUNRISE RIDGE WATERFRO","449.65","CAD"
